mainShipmentRouteNumber,speed,time,truckNumber,timestamp,shipmentEndCity,shipmentStartCity,city,country,activity
101,0,2014-04-19 15:33:43,2001,1397921623,AMS,LHR,London Heathrow Airport,GB,Load
101,0,2014-04-19 15:33:47,2001,1397921627,AMS,LHR,London Heathrow Airport,GB,Load
101,0,2014-04-19 15:33:54,2001,1397921634,AMS,LHR,London Heathrow Airport,GB,Load
101,0,2014-04-19 15:33:55,2001,1397921635,AMS,LHR,London Heathrow Airport,GB,Load
101,0,2014-04-19 15:36:15,2001,1397921775,AMS,LHR,London Heathrow Airport,GB,Load
101,0,2014-04-19 15:44:15,2001,1397922255,AMS,LHR,London Heathrow Airport,GB,Load
101,4,2014-04-19 15:54:48,2001,1397922888,AMS,LHR,London Heathrow Airport,GB,Load
101,2,2014-04-19 15:55:15,2001,1397922915,AMS,LHR,London Heathrow Airport,GB,Load
101,0,2014-04-19 16:00:14,2001,1397923214,AMS,LHR,London Heathrow Airport,GB,Load
101,0,2014-04-19 16:02:15,2001,1397923335,AMS,LHR,London Heathrow Airport,GB,Load
101,0,2014-04-19 16:04:11,2001,1397923451,AMS,LHR,London Heathrow Airport,GB,Load
101,0,2014-04-19 16:06:14,2001,1397923574,AMS,LHR,London Heathrow Airport,GB,Load
101,0,2014-04-19 16:13:46,2001,1397924026,AMS,LHR,London Heathrow Airport,GB,Load
101,0,2014-04-19 16:15:57,2001,1397924157,AMS,LHR,London Heathrow Airport,GB,Load
101,0,2014-04-19 16:15:57,2001,1397924157,AMS,LHR,London Heathrow Airport,GB,Load
101,0,2014-04-19 16:15:57,2001,1397924157,AMS,LHR,London Heathrow Airport,GB,Load
101,0,2014-04-19 16:16:06,2001,1397924166,AMS,LHR,London Heathrow Airport,GB,Load
101,0,2014-04-19 16:16:06,2001,1397924166,AMS,LHR,London Heathrow Airport,GB,Load
101,4,2014-04-19 16:16:16,2001,1397924176,AMS,LHR,London Heathrow Airport,GB,Load
101,86,2014-04-19 16:21:19,2001,1397924479,AMS,LHR,London Heathrow Airport,GB,Load
101,86,2014-04-19 16:21:19,2001,1397924479,AMS,LHR,London Heathrow Airport,GB,Drive
101,86,2014-04-19 16:26:23,2001,1397924783,AMS,LHR,London Heathrow Airport,GB,Drive
101,86,2014-04-19 16:31:28,2001,1397925088,AMS,LHR,UNK,GB,Drive
101,86,2014-04-19 16:36:33,2001,1397925393,AMS,LHR,UNK,GB,Drive
101,80,2014-04-19 16:41:37,2001,1397925697,AMS,LHR,UNK,GB,Drive
101,86,2014-04-19 16:46:42,2001,1397926002,AMS,LHR,UNK,GB,Drive
101,82,2014-04-19 16:51:45,2001,1397926305,AMS,LHR,UNK,GB,Drive
101,74,2014-04-19 16:56:51,2001,1397926611,AMS,LHR,UNK,GB,Drive
101,74,2014-04-19 17:01:56,2001,1397926916,AMS,LHR,UNK,GB,Drive
101,86,2014-04-19 17:07:00,2001,1397927220,AMS,LHR,UNK,GB,Drive
101,84,2014-04-19 17:12:04,2001,1397927524,AMS,LHR,UNK,GB,Drive
101,88,2014-04-19 17:17:08,2001,1397927828,AMS,LHR,UNK,GB,Drive
101,88,2014-04-19 17:22:09,2001,1397928129,AMS,LHR,UNK,GB,Drive
101,88,2014-04-19 17:27:11,2001,1397928431,AMS,LHR,UNK,GB,Drive
101,88,2014-04-19 17:32:13,2001,1397928733,AMS,LHR,UNK,GB,Drive
101,88,2014-04-19 17:37:16,2001,1397929036,AMS,LHR,UNK,GB,Drive
101,88,2014-04-19 17:42:19,2001,1397929339,AMS,LHR,UNK,GB,Drive
101,88,2014-04-19 17:52:23,2001,1397929943,AMS,LHR,UNK,GB,Drive
101,88,2014-04-19 17:57:25,2001,1397930245,AMS,LHR,UNK,GB,Drive
101,0,2014-04-19 18:02:28,2001,1397930548,AMS,LHR,Newington,GB,Drive
101,0,2014-04-19 18:02:28,2001,1397930548,AMS,LHR,Newington,GB,Connection
101,0,2014-04-19 18:03:48,2001,1397930628,AMS,LHR,Newington,GB,Connection
101,0,2014-04-19 18:03:48,2001,1397930628,AMS,LHR,Newington,GB,Connection
101,0,2014-04-19 18:04:16,2001,1397930656,AMS,LHR,Newington,GB,Connection
101,0,2014-04-19 18:07:59,2001,1397930879,AMS,LHR,Newington,GB,Connection
101,0,2014-04-19 18:09:42,2001,1397930982,AMS,LHR,Newington,GB,Connection
101,0,2014-04-19 18:09:42,2001,1397930982,AMS,LHR,Newington,GB,Connection
101,0,2014-04-19 18:09:42,2001,1397930982,AMS,LHR,Newington,GB,Connection
101,0,2014-04-19 18:12:15,2001,1397931135,AMS,LHR,Newington,GB,Connection
101,0,2014-04-19 18:22:23,2001,1397931743,AMS,LHR,Newington,GB,Connection
101,0,2014-04-19 18:23:09,2001,1397931789,AMS,LHR,Newington,GB,Connection
101,6,2014-04-19 18:25:42,2001,1397931942,AMS,LHR,Peene,GB,Connection
101,6,2014-04-19 18:25:42,2001,1397931942,AMS,LHR,Peene,GB,Connection
101,6,2014-04-19 18:25:44,2001,1397931944,AMS,LHR,Peene,GB,Connection
101,6,2014-04-19 18:25:44,2001,1397931944,AMS,LHR,Peene,GB,Connection
101,20,2014-04-19 18:34:56,2001,1397932496,AMS,LHR,Peene,GB,Connection
101,0,2014-04-19 18:35:18,2001,1397932518,AMS,LHR,Peene,GB,Connection
101,0,2014-04-19 18:35:18,2001,1397932518,AMS,LHR,Peene,GB,Connection
101,0,2014-04-19 18:35:19,2001,1397932519,AMS,LHR,Peene,GB,Connection
101,0,2014-04-19 18:35:21,2001,1397932521,AMS,LHR,Peene,GB,Connection
